date,time,air_pressure (mbar),air_temperature (Celsius),dew_point_temperature (Celsius),relative_humidity (%),wind_speed (m s-1),wind_speed_of_gust (m s-1),wind_to_direction (degrees_true) 
2015-06-01,00:30:00,1015.917,26.47,-999.0,78.29,4.21,-999.0,227.5 
2015-06-01,01:00:00,1016.255639,26.61,-999.0,75.49,3.65,-999.0,244.6 
2015-06-01,02:30:00,1016.932917,26.82,-999.0,74.11,2.88,-999.0,244.1 
2015-06-01,03:00:00,1017.271556,26.83,-999.0,72.32,-999.0,-999.0,-999.0 
2015-06-01,03:30:00,-999.0,-999.0,-999.0,-999.0,2.26,-999.0,231.8 
2015-06-01,04:30:00,1017.271556,26.69,-999.0,76.28,2.76,-999.0,213.9 
2015-06-01,05:30:00,1016.932917,23.79,-999.0,88.8,4.26,-999.0,49.83 
2015-06-01,06:30:00,1016.255639,23.31,-999.0,87.0,4.44,-999.0,74.94 
2015-06-01,07:30:00,1015.917,22.97,-999.0,88.2,4.06,-999.0,72.0 
2015-06-01,08:30:00,1015.578361,22.43,-999.0,90.6,4.75,-999.0,61.08 
2015-06-01,09:30:00,1015.917,22.4,-999.0,92.0,4.44,-999.0,69.34 
2015-06-01,10:30:00,1016.255639,22.43,-999.0,92.3,3.84,-999.0,64.34 
2015-06-01,11:30:00,1016.594278,22.43,-999.0,92.9,4.04,-999.0,89.5 
2015-06-01,12:30:00,1016.932917,23.18,-999.0,95.6,2.27,-999.0,148.1 
2015-06-01,13:30:00,1017.610195,23.28,-999.0,94.0,2.68,-999.0,46.1 
2015-06-01,14:30:00,1017.948834,25.24,-999.0,79.88,1.75,-999.0,136.6 
2015-06-01,15:30:00,1017.948834,25.78,-999.0,80.1,1.19,-999.0,236.3 
2015-06-01,16:30:00,1017.948834,26.24,-999.0,77.72,1.05,-999.0,182.6 
2015-06-01,17:30:00,1017.271556,26.47,-999.0,76.63,3.25,-999.0,221.2 
2015-06-01,18:30:00,1016.932917,26.61,-999.0,72.98,2.5,-999.0,238.3 
2015-06-01,19:30:00,1016.594278,26.71,-999.0,72.2,1.4,-999.0,193.7 
2015-06-01,20:30:00,1016.255639,24.11,-999.0,83.4,5.93,-999.0,75.54 
2015-06-01,21:30:00,1015.917,24.66,-999.0,83.6,4.54,-999.0,84.3 
2015-06-01,22:00:00,1016.255639,25.16,-999.0,82.5,2.47,-999.0,96.9 
2015-06-01,23:30:00,1014.901083,25.76,-999.0,76.33,4.04,-999.0,173.3 
2015-06-02,00:00:00,1015.578361,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0 
2015-06-02,00:30:00,-999.0,25.63,-999.0,77.82,3.66,-999.0,155.7 
2015-06-02,01:30:00,1015.578361,25.68,-999.0,81.2,3.64,-999.0,162.8 
2015-06-02,02:30:00,1016.255639,25.45,-999.0,83.8,3.59,-999.0,168.8 
2015-06-02,03:30:00,1016.255639,25.79,-999.0,83.2,3.41,-999.0,186.1 
2015-06-02,04:30:00,1016.594278,25.92,-999.0,82.3,3.0,-999.0,193.4 
2015-06-02,05:30:00,1016.255639,26.12,-999.0,79.34,3.36,-999.0,188.2 
2015-06-02,07:00:00,1015.578361,26.36,-999.0,74.49,2.41,-999.0,202.6 
2015-06-02,08:30:00,1015.239722,22.8,-999.0,96.2,3.13,-999.0,59.07 
2015-06-02,09:30:00,1014.901083,22.67,-999.0,96.8,3.11,-999.0,62.91 
2015-06-02,10:30:00,1014.562444,22.97,-999.0,97.2,2.39,-999.0,52.51 
2015-06-02,11:30:00,1014.901083,23.18,-999.0,95.4,2.6,-999.0,27.76 
2015-06-02,12:30:00,1015.578361,22.74,-999.0,95.9,3.96,-999.0,52.35 
2015-06-02,13:30:00,1016.255639,22.97,-999.0,94.5,2.76,-999.0,90.5 
2015-06-02,14:30:00,1016.255639,24.77,-999.0,87.4,3.4,-999.0,357.2 
2015-06-02,15:30:00,1016.255639,25.59,-999.0,82.0,2.61,-999.0,322.7 
2015-06-02,16:00:00,1015.917,25.93,-999.0,82.2,3.02,-999.0,301.4 
2015-06-02,17:00:00,1015.917,24.58,-999.0,78.29,5.06,-999.0,126.9 
2015-06-02,18:30:00,1015.239722,25.81,-999.0,77.66,2.03,-999.0,123.5 
2015-06-02,19:30:00,1014.562444,26.61,-999.0,73.38,2.12,-999.0,229.4 
2015-06-02,20:30:00,1013.885166,27.08,-999.0,65.43,2.38,-999.0,215.8 
2015-06-02,21:30:00,1013.546527,26.75,-999.0,74.87,4.33,-999.0,161.8 
2015-06-02,22:30:00,1013.207888,26.47,-999.0,75.35,4.92,-999.0,156.9 
2015-06-02,23:30:00,1012.869249,26.27,-999.0,77.28,5.08,-999.0,176.9 
2015-06-03,00:00:00,1012.869249,26.17,-999.0,-999.0,-999.0,-999.0,-999.0 
2015-06-03,00:30:00,-999.0,-999.0,-999.0,78.47,3.08,-999.0,182.1 
2015-06-03,01:00:00,1013.546527,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0 
2015-06-03,01:30:00,-999.0,26.15,-999.0,78.55,3.31,-999.0,193.5 
2015-06-03,02:00:00,1013.207888,26.29,-999.0,76.89,-999.0,-999.0,-999.0 
2015-06-03,02:30:00,-999.0,-999.0,-999.0,-999.0,1.91,-999.0,214.3 
2015-06-03,03:00:00,1013.885166,26.22,-999.0,-999.0,-999.0,-999.0,-999.0 
2015-06-03,03:30:00,-999.0,-999.0,-999.0,77.88,1.93,-999.0,236.4 
2015-06-03,04:30:00,1013.885166,25.41,-999.0,73.34,0.11,-999.0,180.0 
2015-06-03,05:30:00,1013.546527,24.43,-999.0,90.8,2.56,-999.0,72.94 
2015-06-03,07:00:00,1013.546527,23.21,-999.0,95.9,3.63,-999.0,57.88 
2015-06-03,08:30:00,1012.53061,22.91,-999.0,95.7,3.88,-999.0,40.59 
2015-06-03,09:30:00,1012.869249,22.8,-999.0,94.6,2.94,-999.0,40.53 
2015-06-03,10:30:00,1013.207888,22.2,-999.0,94.8,3.81,-999.0,59.33 
2015-06-03,11:30:00,1013.546527,22.16,-999.0,96.3,4.12,-999.0,69.4 
2015-06-03,12:30:00,1013.885166,22.8,-999.0,93.1,3.54,-999.0,75.15 
2015-06-03,13:30:00,1014.562444,24.26,-999.0,86.4,2.19,-999.0,77.27 
2015-06-03,14:30:00,1014.223805,25.71,-999.0,79.23,0.91,-999.0,69.36 
2015-06-03,15:30:00,1014.223805,26.54,-999.0,71.62,0.13,-999.0,223.7 
2015-06-03,16:30:00,1013.885166,26.47,-999.0,70.78,1.64,-999.0,255.6 
2015-06-03,17:30:00,1013.885166,27.02,-999.0,70.0,2.04,-999.0,249.2 
2015-06-03,18:30:00,1013.546527,26.85,-999.0,74.13,2.93,-999.0,283.0 
2015-06-03,19:30:00,1013.207888,27.22,-999.0,72.37,3.56,-999.0,241.4 
